,"""enh_impression_list""","""enh_impression_name""","""enh_impression_position""","""search_sortby""","""object_area""","""object_city""","""object_currency""","""object_display_state""","""object_district""","""object_features""","""object_federalstate""","""object_gok""","""object_is_special""","""object_label""","""object_marketingtype""","""object_objekt_nutzungsart""","""object_objekt_zustand""","""object_objektart""","""object_objektart_sub""","""object_price""","""object_rooms""","""object_listingtype"""
542,Liste,kontakt,24.0,2062610.0,117.47,München,EUR,sel_item,Obergiesing,,Bayern,c3c23308-9a78-4555-828c-aac2e72ac895,,old,Miete,WOHNEN,sonstiges,,MAISONETTE,3290.0,3.0,standard
543,Liste,kontakt,25.0,320584.0,149.0,München,EUR,sel_item,Bogenhausen,Balkon|EBK,Bayern,c9edc6e5-e5d3-47ec-adc4-2ccde5784baa,,new,Miete,WOHNEN,sonstiges,,ETAGE,3400.0,5.0,standard
544,Liste,kontakt,26.0,1028009.0,151.38,München,EUR,sel_item,Sendling,Garten|Balkon,Bayern,bec2e544-6055-4c29-a83a-ec00d2eeb3fc,,old,Miete,WOHNEN,sonstiges,,ETAGE,3406.0,4.0,standard
545,Liste,kontakt,1.0,1695354.0,214.0,München,EUR,sel_item,Aubing-Lochhausen-Langwied,Garten|EBK,Bayern,e1d58c14-b6e6-483f-8779-10c9c1207cc6,,old,Miete,WOHNEN,sonstiges,,Wohnung,3450.0,6.0,standard
546,Liste,kontakt,2.0,316913.0,118.0,München,EUR,sel_item,Schwabing-Freimann,Balkon,Bayern,ea7f9620-056f-4b44-a04b-6f1e48e4f7c3,,new,Miete,WOHNEN,sonstiges,,Wohnung,3480.0,3.5,standard
547,Liste,kontakt,3.0,297611.0,172.0,München,EUR,sel_item,Neuhausen-Nymphenburg,Balkon|EBK,Bayern,43cb051c-3d79-4a42-a940-fce4034b6ffc,,old,Miete,WOHNEN,sonstiges,,ERDGESCHOSS,3500.0,4.5,standard
548,Liste,kontakt,4.0,2314152.0,139.32,München,EUR,sel_item,Berg am Laim,Balkon|EBK,Bayern,e63b94ba-3bd6-4eba-980d-082bbe1d289c,,old,Miete,WOHNEN,sonstiges,,PENTHOUSE,3500.0,4.0,standard
549,Liste,kontakt,5.0,2298444.0,129.0,München,EUR,sel_item,Neuhausen-Nymphenburg,Balkon|EBK,Bayern,41fa21f7-32f7-41aa-8b94-4b6b4df66199,,old,Miete,WOHNEN,sonstiges,,ETAGE,3500.0,4.0,standard
550,Liste,kontakt,6.0,314425.0,148.0,München,EUR,sel_item,Schwabing-Freimann,Balkon|EBK,Bayern,201d9e99-de15-4a3e-9d02-c30409d0a7e7,,old,Miete,WOHNEN,sonstiges,,ETAGE,3530.0,5.0,standard
551,Liste,kontakt,7.0,1695354.0,148.53,München,EUR,sel_item,Schwabing-Freimann,Garten|Balkon|EBK,Bayern,7a73f73b-ec86-485a-8886-9f92d5410bdb,,old,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,3542.0,4.0,standard
552,Liste,kontakt,8.0,2062610.0,132.08,München,EUR,sel_item,Obergiesing,Balkon,Bayern,261b81d2-1e89-4a26-868d-245bf452775c,,old,Miete,WOHNEN,sonstiges,,APARTMENT,3566.0,3.0,standard
553,Liste,kontakt,9.0,2062610.0,132.08,München,EUR,sel_item,Obergiesing,Balkon,Bayern,af32d2ad-ba59-4056-86a9-ae121e72728b,,old,Miete,WOHNEN,sonstiges,,APARTMENT,3566.0,3.0,standard
554,Liste,kontakt,10.0,561025.0,130.0,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,Balkon|EBK,Bayern,9fbee1f5-05a3-4c06-93f6-1b6cde3279b0,,old,Miete,WOHNEN,sonstiges,,PENTHOUSE,3640.0,3.0,standard
555,Liste,kontakt,11.0,284128.0,86.09,München,EUR,sel_item,Altstadt-Lehel,EBK,Bayern,52ed885a-bead-4b1c-af14-53fc0a72b7e4,,old,Miete,WOHNEN,sonstiges,,MAISONETTE,3658.0,2.5,standard
556,Liste,kontakt,12.0,316913.0,136.0,München,EUR,sel_item,Maxvorstadt,Balkon,Bayern,db4ff5cf-ca36-4595-8834-d04ed8d2cbc4,,old,Miete,WOHNEN,sonstiges,,Wohnung,3680.0,3.5,standard
557,Liste,kontakt,13.0,2057650.0,132.0,München,EUR,sel_item,Maxvorstadt,,Bayern,bca18a94-0872-4d26-805b-c4471a5d7840,,new,Miete,WOHNEN,sonstiges,,MAISONETTE,3690.0,3.5,standard
558,Liste,kontakt,14.0,563595.0,127.0,München,EUR,sel_item,Altstadt-Lehel,Balkon|EBK,Bayern,29f4cdb4-a9ac-44f2-bfca-a0797d5087f3,,old,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,3747.0,3.0,standard
559,Liste,kontakt,15.0,316913.0,140.0,München,EUR,sel_item,Untergiesing-Harlaching,,Bayern,ffc413ef-8248-47b2-9e57-fb96f73a31e9,,old,Miete,WOHNEN,sonstiges,,Wohnung,3760.0,4.5,standard
560,Liste,kontakt,16.0,65294.0,126.63,München,EUR,sel_item,Maxvorstadt,Balkon,Bayern,e63c9dab-b3ae-4d30-aa2f-3f81eb7a346f,,old,Miete,WOHNEN,sonstiges,,ETAGE,3790.0,4.5,standard
561,Liste,kontakt,17.0,65294.0,129.53,München,EUR,sel_item,Maxvorstadt,Balkon,Bayern,eccc0feb-ab46-4637-87e3-fabc8717e88f,,old,Miete,WOHNEN,sonstiges,,ETAGE,3870.0,4.5,standard
562,Liste,kontakt,18.0,65294.0,129.53,München,EUR,sel_item,Maxvorstadt,Balkon,Bayern,ab8e63bc-35cb-45ec-bd9d-9b6ef0bb787a,,old,Miete,WOHNEN,sonstiges,,ETAGE,3870.0,4.5,standard
563,Liste,kontakt,19.0,18240.0,197.0,München,EUR,sel_item,Pasing-Obermenzing,Balkon|EBK,Bayern,c65d572f-82a7-42f7-abe6-d95004e9d9f1,,old,Miete,WOHNEN,sonstiges,,ETAGE,3900.0,5.0,standard
564,Liste,kontakt,20.0,8022.0,164.0,München,EUR,sel_item,Ludwigsvorstadt-Isarvorstadt,Balkon|EBK,Bayern,32327b32-508d-40b2-8efb-4ffc3d4d652e,,old,Miete,WOHNEN,sonstiges,,Wohnung,3900.0,4.0,standard
565,Liste,kontakt,21.0,197569.0,184.0,München,EUR,sel_item,Untergiesing-Harlaching,Balkon|EBK,Bayern,31f677bc-5d92-4f84-beb4-baadc1f821fc,,old,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,3920.0,3.0,standard
566,Liste,kontakt,22.0,65294.0,130.78,München,EUR,sel_item,Maxvorstadt,Balkon,Bayern,9a01af1c-1e6f-4889-907a-1de18f8f1d99,,old,Miete,WOHNEN,sonstiges,,ETAGE,3920.0,4.5,standard
567,Liste,kontakt,23.0,8022.0,160.0,München,EUR,sel_item,Untergiesing-Harlaching,Balkon|EBK,Bayern,e70e6fca-bf29-48c1-a118-8d192cc65964,,new,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,4200.0,4.0,standard
568,Liste,kontakt,24.0,201845.0,152.0,München,EUR,sel_item,Au-Haidhausen,Balkon|EBK,Bayern,2e0ad144-f492-49cb-af1d-499e89078660,,new,Miete,WOHNEN,sonstiges,,ETAGE,4200.0,7.0,standard
569,Liste,kontakt,25.0,709515.0,197.0,München,EUR,sel_item,Au-Haidhausen,Balkon|EBK,Bayern,ac0c130c-b51d-4ee5-a649-a6d65d20987a,,new,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,4250.0,5.0,standard
570,Liste,kontakt,26.0,1390368.0,185.0,München,EUR,sel_item,Altstadt-Lehel,Balkon|EBK,Bayern,705720ad-3391-47c6-8640-bb8cfb1f5212,,old,Miete,WOHNEN,sonstiges,,Wohnung,4255.0,3.0,standard
571,Liste,kontakt,1.0,18240.0,192.0,München,EUR,sel_item,Bogenhausen,Balkon|EBK,Bayern,7284bdaf-4af3-4872-8029-71fc15b9bf1d,,old,Miete,WOHNEN,sonstiges,,ETAGE,4300.0,4.5,standard
572,Liste,kontakt,2.0,316913.0,180.0,München,EUR,sel_item,Maxvorstadt,Garten,Bayern,ca00e8a6-c189-431d-abc0-a8f3a817d948,,old,Miete,WOHNEN,sonstiges,,Wohnung,4400.0,6.0,standard
